"%s already exist","%s már létezik"
"%s already exists","%s már létezik"
"-- Please Select --","-- Válassz --"
"Add Block Names to Hints","Blokk nevek mutatása a javaslatban"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Bolt kódja az Url-ben"
"Admin","Admin"
"Admin Base URL","Admin Alap URL"
"Admin User Emails","Admin E-mail-ek"
"Advanced","Speciális"
"Allow countries","Engedélyezett országok"
"Allowed IPs (comma separated)","Engedélyezett IP-k (vesszővel elválaszva)"
"Are you sure?","Biztos vagy benne?"
"Back","Vissza"
"Backup options","Mentés beállítása"
"Base JavaScript URL","Alap Javascript URL"
"Base Link URL","Alap Link URL"
"Base Media URL","Alap Media URL"
"Base Skin URL","Alap Skin URL"
"Base URL","Alap URL"
"Before modifying the store view code please make sure that it is not used in index.php","Mielőtt módosítod a bolt nézet kódját, ellenőrízd, hogy nem szerepel-e az index.php fájlban"
"Before modifying the website code please make sure that it is not used in index.php","Mielőtt módosítja a weboldal kódját, ellenőrízd, hogy nem szerepel-e az index.php fájlban"
"Block with name ""%s"" already exists","Blokk ""%s"" névvel már létezik"
"Blocks HTML output","Blokk HTML kimenete"
"Can't retrieve request object","Nem tudom teljesíteni a kérést"
"Can't retrieve entity config: %s","Nem tudom teljesíteni(entity config): %s"
"Cancel","Mégsem"
"Cannot Delete Email Template","Nem lehet törölni az e-mail sablont"
"Cannot complete this operation from non-admin area.","Nem tudom végrehajtani a műveletet, egy nem-admin területről."
"Category object is required for determining product request path","Kategória elem szükséges hogy a termék elérési út meghatározásához"
"Code","Kód"
"Collections Data","Collections adatok"
"Configuration","Konfigurálás"
"Controller file was loaded but class does not exist","Controller fájl betöltve de az osztály nem létezik"
"Cookie Domain","Süti domain"
"Cookie Lifetime","Süti élettartam"
"Cookie Path","Süti útvonal"
"Copyright","Minden Jog Fenntartva"
"Countries options","Ország lehetőségek"
"Create Store","Bolt létrehozása"
"Create Store View","Bolt nézet létrehozása"
"Create Website","Weboldal létrehozása"
"Current package name","Jelenlegi csomag név"
"Custom Design","Egyedi kinézet"
"Custom admin URL","Egyedi admin URL"
"Custom email 1","Saját e-mail 1"
"Custom email 2","Saját e-mail 2"
"Customer support","Vevőtámogatás"
"Date From","Ettől"
"Date To","Eddig"
"Date/time format ""%s"" is not supported.","Dátum/Idő formátum ""%s"" nem támogatott."
"Debug","Debug"
"Default","Alapértelmezett"
"Default Description","Default leírás"
"Default Keywords","Default kulcsszavak"
"Default Pages","Default oldalak"
"Default Robots","Default robotok"
"Default Store","Default Bolt"
"Default Store View","Default Bolt nézet"
"Default Title","Default Cím"
"Default country","Default. ország"
"Default no-route url","Alapértelmezett no-route url"
"Default web url","Alpértelmezett web url"
"Delete","Törlés"
"Delete Store","Bolt törlése"
"Delete Store View","Bolt nézet törlése"
"Delete Website","Weboldal törlése"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."," %1$s törlése nem fogja törölni a kapcsolódó adatokat ezzel %1$s (pl. kategóriák, termékek, stb.), de a(z) %1$s nem lesz visszaállítható. Ajánlott adatbázis mentést készíteni mielőtt törlöd a következőt: %1$s."
"Design","Kinézet"
"Design Change","Kinézet változás"
"Developer","Fejlesztő"
"Developer Client Restrictions","Fejlesztő kliens korlátozások"
"Disable email communications","E-mail kommunikáció letiltása"
"Disable modules output","Modul kimenetek letiltása"
